iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
BLZ,North America,Belize,2021-07-02,13343,43,29.429,330,1,0.143,33557.081,108.143,74.012,829.936,2.515,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397621,16.426,25,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,
BEN,Africa,Benin,2021-07-02,8199,0,4.143,104,0,0,676.307,0,0.342,8.579,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,
BMU,North America,Bermuda,2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80722,41688,39034,,390,129.63,66.94,62.68,6263,,62273,1308.82,,,,50669.315,,139.547,13,,,,,82.59,,
BTN,Asia,Bhutan,2021-07-02,2122,18,15.571,1,0,0,2750.087,23.328,20.18,1.296,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771612,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,
BOL,South America,Bolivia,2021-07-02,442884,1598,1646.286,16879,57,54.714,37940.795,136.897,141.033,1445.983,4.883,4.687,,,,,,,,,,,,,,,,,,,2647544,1927217,720327,,41536,22.68,16.51,6.17,3558,,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,
BES,North America,Bonaire Sint Eustatius and Saba,2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7391,5726,1665,,,28.19,21.84,6.35,,,26221,,,,,,,,,,,,,77.79,,
BIH,Europe,Bosnia and Herzegovina,2021-07-02,205047,15,14.571,9667,0,1.714,62498.8,4.572,4.441,2946.524,0,0.523,,,,,,,,,,1267,1033373,314.974,0.386,1438,0.438,,,tests performed,,,,,,,,,,,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,
BWA,Africa,Botswana,2021-07-02,71443,0,564.429,1158,0,9,30380.269,0,240.016,492.425,0,3.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,
BRA,South America,Brazil,2021-07-02,18687469,65165,52101.286,521952,1857,1544.286,87916.452,306.573,245.114,2455.558,8.736,7.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,
VGB,North America,British Virgin Islands,2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21403,12562,8841,,161,70.78,41.55,29.24,5325,,30237,207.973,,,,,,,13.67,,,,,79.07,,
BRN,Asia,Brunei,2021-07-02,261,0,0.714,3,0,0,596.595,0,1.633,6.857,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86,0.838,
BGR,Europe,Bulgaria,2021-07-02,421983,81,70.857,18083,16,8.143,60730.566,11.657,10.198,2602.453,2.303,1.172,,,,,,,,,,13923,3206721,461.502,2.004,12696,1.827,,,tests performed,1785306,966942,818364,11725,9074,25.69,13.92,11.78,1306,,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BFA,Africa,Burkina Faso,2021-07-02,13488,3,1.571,168,0,0,645.258,0.144,0.075,8.037,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,
BDI,Africa,Burundi,2021-07-02,5494,12,20.857,8,0,0,462.039,1.009,1.754,0.673,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,
KHM,Asia,Cambodia,2021-07-02,52350,966,897.857,660,32,21.571,3131.174,57.779,53.703,39.476,1.914,1.29,,,,,,,,,,6754,1371584,82.038,0.404,6203,0.371,,,tests performed,7558008,4391526,3166482,149491,134533,45.21,26.27,18.94,8047,,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,
CMR,Africa,Cameroon,2021-07-02,80858,0,53,1324,0,0.571,3045.974,0,1.997,49.876,0,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,
CAN,North America,Canada,2021-07-02,1423837,935,576.143,26306,33,18.857,37725.374,24.773,15.265,696.992,0.874,0.5,,,,,,,,,,,,,,,,,,,38417799,25821859,12595940,601426,531832,101.79,68.42,33.37,14091,,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,
CPV,Africa,Cape Verde,2021-07-02,32666,72,50.429,287,0,0.143,58753.067,129.499,90.701,516.198,0,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,
CYM,North America,Cayman Islands,2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93748,48493,45504,96,414,142.65,73.79,69.24,6299,,65720,256.496,,,,49903.029,,,13.22,,,,,83.92,,
CAF,Africa,Central African Republic,2021-07-02,7141,0,0.286,98,0,0,1478.54,0,0.059,20.291,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,
TCD,Africa,Chad,2021-07-02,4951,0,0,174,0,0,301.415,0,0,10.593,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,
CHL,South America,Chile,2021-07-02,1562613,4056,3591.714,32809,221,113.857,81742.829,212.176,187.888,1716.292,11.561,5.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,
CHN,Asia,China,2021-07-02,91887,23,16.571,4636,0,0,63.84,0.016,0.012,3.221,0,0,,,,,,,,,,,,,,,,,,,1283175000,,,19026000,19910000,89.15,,,13833,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,
COL,South America,Colombia,2021-07-02,4297302,28005,29222.286,107723,586,628.857,84454.765,550.382,574.305,2117.077,11.517,12.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,
COM,Africa,Comoros,2021-07-02,3957,14,6.429,146,0,0,4550.394,16.099,7.393,167.894,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,
COG,Africa,Congo,2021-07-02,12695,0,30,166,0,0.143,2300.614,0,5.437,30.083,0,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
COK,Oceania,Cook Islands,2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18942,9755,9187,,173,107.85,55.54,52.31,9850,,17564,,,,,,,,,,,,,76.25,,
CRI,North America,Costa Rica,2021-07-02,371206,1666,1457.286,4686,12,12,72869.59,327.044,286.072,919.885,2.356,2.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CIV,Africa,Cote d'Ivoire,2021-07-02,48378,0,45.714,315,0,0.857,1834.009,0,1.733,11.942,0,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,
HRV,Europe,Croatia,2021-07-02,360067,92,78,8212,3,2.286,87708.525,22.41,19,2000.357,0.731,0.557,,,,,,,,,,4362,2157376,525.514,1.063,4122,1.004,,,people tested,2633195,1500932,1132263,,18612,64.14,36.56,27.58,4534,,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,
CUB,North America,Cuba,2021-07-02,197253,3308,2857.143,1322,20,14.714,17414.998,292.055,252.25,116.716,1.766,1.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,
CUW,North America,Curacao,2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167673,88840,78833,84,248,102.18,54.14,48.04,1511,,164100,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,
CYP,Europe,Cyprus,2021-07-02,76862,529,359.857,374,0,0,86555.819,595.717,405.242,421.169,0,0,,,,,,,,,,,,,,,,,,,829778,465528,364250,,6661,93.44,52.42,41.02,7501,,888005,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,
CZE,Europe,Czechia,2021-07-02,1667608,173,131.714,30308,4,2.286,155720.497,16.155,12.299,2830.148,0.374,0.213,,,,,,,,,,,,,,,,,,,8447154,5097856,3443270,92177,90074,78.88,47.6,32.15,8411,,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,
COD,Africa,Democratic Republic of Congo,2021-07-02,41771,418,339.429,937,4,5.571,466.395,4.667,3.79,10.462,0.045,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,
DNK,Europe,Denmark,2021-07-02,295306,326,273.143,2537,1,0.714,50983.365,56.283,47.157,438.003,0.173,0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,
DJI,Africa,Djibouti,2021-07-02,11602,0,0.286,155,0,0,11742.891,0,0.289,156.882,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,
DMA,North America,Dominica,2021-07-02,194,1,0.286,,,0,2694.781,13.891,3.969,,,0,,,,,,,,,,,,,,,,,,,39938,20390,19548,,90,55.48,28.32,27.15,1250,,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742,
DOM,North America,Dominican Republic,2021-07-02,327561,1368,926.857,3846,6,8.143,30195.787,126.107,85.441,354.539,0.553,0.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,
ECU,South America,Ecuador,2021-07-02,461157,1619,1274.714,21623,18,27.143,26138.153,91.764,72.25,1225.581,1.02,1.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759,
EGY,Africa,Egypt,2021-07-02,281722,198,303.714,16215,21,26.286,2752.955,1.935,2.968,158.451,0.205,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,
SLV,North America,El Salvador,2021-07-02,78766,0,183.143,2393,6,5.286,12143.626,0,28.236,368.937,0.925,0.815,,,,,,,,,,,,,,,,,,,2890503,1727992,1162511,44326,30843,44.56,26.64,17.92,4755,,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,
GNQ,Africa,Equatorial Guinea,2021-07-02,8742,0,4.286,122,0,0.286,6231,0,3.055,86.957,0,0.204,,,,,,,,,,,159462,113.659,,,,,,tests performed,,,,,,,,,,,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,
ERI,Africa,Eritrea,2021-07-02,6051,23,47.286,25,0,0.571,1706.224,6.485,13.333,7.049,0,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,
EST,Europe,Estonia,2021-07-02,131123,38,30.714,1269,0,0,98845.944,28.646,23.154,956.625,0,0,,,,,,,,,,,,,,,,,,,970808,564604,406204,7406,6924,73.18,42.56,30.62,5220,,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,
SWZ,Africa,Eswatini,2021-07-02,19084,0,13.571,678,0,0,16449.399,0,11.698,584.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,
ETH,Africa,Ethiopia,2021-07-02,276323,73,79.143,4327,2,3.571,2403.57,0.635,0.688,37.638,0.017,0.031,,,,,,,,,,,,,,,,,,,2029761,,,7645,5918,1.77,,,51,,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,
FRO,Europe,Faeroe Islands,2021-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48345,28596,19749,1041,413,98.94,58.52,40.42,8452,,48865,35.308,,,,,,,,,,,,80.67,,
FLK,South America,Falkland Islands,2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4407,2632,1775,,12,126.53,75.57,50.96,3445,,3483,,,,,,,,,,,,,81.44,,
FJI,Oceania,Fiji,2021-07-02,5253,404,312.857,25,1,1.571,5859.819,450.67,348.998,27.888,1.116,1.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FIN,Europe,Finland,2021-07-02,96180,216,208.714,973,0,0.571,17358.761,38.984,37.669,175.609,0,0.103,,,,,,,,,,,,,,,,,,,4462940,3349834,1113106,,37464,80.55,60.46,20.09,6762,,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,
FRA,Europe,France,2021-07-02,5842616,2687,2050,111297,24,28,86474.961,39.77,30.341,1647.276,0.355,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,67564251,122.578,42,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,
PYF,Oceania,French Polynesia,2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132540,71242,61298,,882,47.18,25.36,21.82,3140,,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,
GAB,Africa,Gabon,2021-07-02,25076,22,13.143,159,0,0,11266.426,9.884,5.905,71.437,0,0,,,,,,,,,,,873543,392.475,,,,,,samples tested,,,,,,,,,,,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,
GMB,Africa,Gambia,2021-07-02,6079,0,2,181,0,0,2515.451,0,0.828,74.897,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GEO,Asia,Georgia,2021-07-02,368022,964,834.143,5335,8,14,92255.166,241.654,209.102,1337.369,2.005,3.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,
DEU,Europe,Germany,2021-07-02,3737630,671,566.429,91032,18,40,44610.337,8.009,6.761,1086.509,0.215,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,
GHA,Africa,Ghana,2021-07-02,95914,0,93.571,796,0,0.286,3086.737,0,3.011,25.617,0,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,
GIB,Europe,Gibraltar,2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78089,39235,38854,,13,231.78,116.46,115.32,386,,33691,3457.1,,,,,,,,,,,,79.93,,
GRC,Europe,Greece,2021-07-02,424165,980,552.857,12701,10,10.857,40694.879,94.022,53.042,1218.549,0.959,1.042,,,,,,,,,,,,,,,,,,,8559280,4923627,3878045,83457,90575,82.12,47.24,37.21,8690,,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,
GRL,North America,Greenland,2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43111,30081,13030,1463,1080,75.94,52.99,22.95,19023,,56772,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRD,North America,Grenada,2021-07-02,161,0,0,1,0,0,1430.869,0,0,8.887,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112519,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,
GTM,North America,Guatemala,2021-07-02,298904,2466,1416.714,9350,68,55.714,16684.038,137.646,79.077,521.892,3.796,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,
GGY,Europe,Guernsey,2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82060,,,509,433,122.38,,,6458,,67052,,,,,,,,,,,,,,,
GIN,Africa,Guinea,2021-07-02,23807,20,22,172,0,0.571,1812.79,1.523,1.675,13.097,0,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,
GNB,Africa,Guinea-Bissau,2021-07-02,3880,11,5,69,0,0,1971.547,5.589,2.541,35.061,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,
GUY,South America,Guyana,2021-07-02,20231,89,79.571,477,4,2.571,25720.893,113.151,101.164,606.439,5.085,3.269,,,,,,,,,,,,,,,,,,,346626,234255,112371,2160,1648,44.07,29.78,14.29,2095,,786559,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,
HTI,North America,Haiti,2021-07-02,18658,0,99.286,436,0,5.143,1636.303,0,8.707,38.237,0,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,
HND,North America,Honduras,2021-07-02,265174,1798,975,7059,29,22.429,26772.791,181.532,98.439,712.699,2.928,2.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,
HKG,Asia,Hong Kong,2021-07-02,11938,11,4.143,211,0,0,1592.373,1.467,0.553,28.145,0,0,,,,,,,,,,,,,,,,,,,3846804,2316313,1530491,69853,56308,51.31,30.9,20.41,7511,,7496988,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,
